date,stock_type,close_percentage,open_percentage
2020-07-06,spx,-7.775662908761577,-8.536486029064212
2020-07-02,spx,-9.217446536418116,-8.874192966475798
2020-07-01,spx,-9.627849142805351,-9.967595165537544
2020-06-30,spx,-10.07944212776594,-11.582769763046063
2020-06-29,spx,-11.444077882883935,-12.499056106314523
2020-06-26,spx,-12.725759317048368,-10.916060587252966
2020-06-25,spx,-10.558877740980002,-11.687119996540767
2020-06-24,spx,-11.528476734906597,-9.721782957317464
2020-06-23,spx,-9.180320671735272,-9.017388804016107
2020-06-22,spx,-9.569841306932405,-10.300949753434093
2020-06-19,spx,-10.153403534710877,-8.971296361103187
2020-06-18,spx,-9.642931746615089,-10.091661896184927
2020-06-17,spx,-9.696591827211424,-9.09188828912962
2020-06-16,spx,-9.3702977504261,-9.240590025731233
2020-06-15,spx,-11.056872746018156,-13.218814407253522
2020-06-12,spx,-11.790092641176358,-10.978670727349789
2020-06-11,spx,-12.927335130499928,-9.457124721847713
2020-06-10,spx,-7.473444349794614,-6.851454452591556
2020-06-09,spx,-6.979216455191567,-6.854348941943833
2020-06-08,spx,-6.248028816978621,-7.242783751426633
2020-06-05,spx,-7.363518367849836,-8.288642724403779
2020-06-04,spx,-9.729653178003757,-9.804102517575885
2020-06-03,spx,-9.424531394829287,-10.171086967091071
2020-06-02,spx,-10.644147560264916,-11.16013185566703
2020-06-01,spx,-11.371858410463503,-11.913803097867921
2020-05-29,spx,-11.703080887366939,-12.308324119680695
2020-05-28,spx,-12.125960276811806,-11.68682983990643
2020-05-27,spx,-11.940338034432239,-12.584284309907384
2020-05-26,spx,-13.226947868714786,-12.919662917253202
2020-05-22,spx,-14.280372150857195,-14.54382529343505
2020-05-21,spx,-14.481657641888003,-13.909005039454577
2020-05-20,spx,-13.81166430514161,-14.382080662270488
2020-05-19,spx,-15.223289806213325,-14.528170989163074
2020-05-18,spx,-14.325039317444906,-15.534901278451363
2020-05-15,spx,-16.941481621528613,-17.967234805151683
2020-05-14,spx,-17.26632408621018,-18.993674514601565
2020-05-13,spx,-18.20895141914556,-16.926294340976085
2020-05-12,spx,-16.755271653272892,-14.791668598095484
2020-05-11,spx,-15.009237209704132,-15.488525755895186
2020-05-08,spx,-15.02431981351387,-15.680708525700696
2020-05-07,spx,-16.43420338006108,-16.56685396395363
2020-05-06,spx,-17.38466233732208,-16.425399066219335
2020-05-05,spx,-16.804003333751112,-16.838759038290696
2020-05-04,spx,-17.549402608511542,-18.400304197384642
2020-05-01,spx,-17.898320591011476,-16.832665748969646
2020-04-30,spx,-15.528121266967043,-15.040672529293259
2020-04-29,spx,-14.742692903316259,-15.401563689487391
2020-04-28,spx,-16.950474535537236,-15.647956210976144
2020-04-27,spx,-16.51280286470338,-17.251248540459052
2020-04-24,spx,-17.723426116130383,-18.46900762680252
2020-04-23,spx,-18.852836981128334,-18.533358706705357
2020-04-22,spx,-18.809040781802874,-19.186444674666827
2020-04-21,spx,-20.629036632316566,-19.275720917158228
2020-04-20,spx,-18.117301587638778,-17.512998132594362
2020-04-17,spx,-16.626495957083264,-17.605473175054538
2020-04-16,spx,-18.802080124739508,-18.85453379295088
2020-04-15,spx,-19.27165185668269,-18.961792669780024
2020-04-14,spx,-17.45310761827275,-18.687566342368267
2020-04-13,spx,-19.901913507994134,-19.343844033307434
2020-04-09,spx,-19.08428767977862,-19.502404018485382
2020-04-08,spx,-20.239806319540186,-22.16895056502343
2020-04-07,spx,-22.866693149736268,-20.613781774893795
2020-04-06,spx,-22.742845853664754,-25.262480291464463
2020-04-03,spx,-27.819402459809815,-27.09912224787317
2020-04-02,spx,-26.710002598739717,-28.73342595227461
2020-04-01,spx,-28.345820737942944,-27.587264784701297
2020-03-31,spx,-25.036761191398245,-24.207053226545312
2020-03-30,spx,-23.816861784576517,-25.82193766741949
2020-03-27,spx,-26.287413531715597,-25.912084379813905
2020-03-26,spx,-23.717663570130213,-27.494216505963532
2020-03-25,spx,-28.19905921373607,-28.75574678214523
2020-03-24,spx,-29.01783925059994,-32.04088604211418
2020-03-23,spx,-35.10663684134871,-33.598376085318506
2020-03-20,spx,-33.14829173579527,-29.50449243855349
2020-03-19,spx,-30.118253278696073,-30.619344997582854
2020-03-18,spx,-30.445701564129745,-29.37230839913579
2020-03-17,spx,-26.643582493699647,-29.68653388013941
2020-03-16,spx,-30.792884693139822,-27.28260739563968
2020-03-13,spx,-21.36979782937964,-25.50278660062324
2020-03-12,spx,-28.051724125722355,-23.738322876253363
2020-03-11,spx,-20.489242846207716,-18.093325555248335
2020-03-10,spx,-16.404038172441602,-18.44465570049155
2020-03-09,spx,-20.338997452951833,-16.98340565900269
2020-03-06,spx,-13.789621044268504,-14.365555888095502
2020-03-05,spx,-12.29389409462953,-10.843592198579802
2020-03-04,spx,-9.214252989789856,-11.711762079486075
2020-03-03,spx,-12.890499588237835,-10.241814415958219
2020-03-02,spx,-10.371223241655178,-13.783487525635515
2020-02-28,spx,-14.316046403436284,-15.446785662497303
2020-02-27,spx,-13.604289124309688,-11.225063248838541
2020-02-26,spx,-9.612483297609513,-8.982605392851205
2020-02-25,spx,-9.269655004910698,-6.111696574856626
2020-02-24,spx,-6.436554283565697,-5.570497835891512
2020-02-21,spx,-3.1921729075365577,-2.5879919455349105
2020-02-20,spx,-2.1631144656332606,-2.0096956193212896
2020-02-19,spx,-1.7883861118251152,-2.011436559127305
2020-02-18,spx,-2.248384284918175,-2.340438797508814
2020-02-14,spx,-1.962119297023204,-2.0783919717480854
2020-02-13,spx,-2.142522816863909,-2.431463056797312
2020-02-12,spx,-1.9827109457925554,-2.2981183908422604
2020-02-11,spx,-2.6120945488070935,-2.432326449709238
2020-02-10,spx,-2.776254175155057,-3.81183724420835
2020-02-07,spx,-3.483373376584293,-3.3115152057291923
2020-02-06,spx,-2.9592705967825195,-3.0396172083832056
2020-02-05,spx,-3.2809265958704823,-3.619654474402842
2020-02-04,spx,-4.356967702692847,-4.903788660098416
2020-02-03,spx,-5.768593203764561,-6.206775950034745
2020-01-31,spx,-6.447282051064174,-4.853931257930211
2020-01-30,spx,-4.760997377892869,-5.604127697510151
2020-01-29,spx,-5.058577859162469,-4.64725481039007
2020-01-28,spx,-4.9762041830504105,-5.636009542331695
2020-01-27,spx,-5.922025062614049,-5.873421362138196
2020-01-24,spx,-4.418459407614804,-3.3822426545963395
2020-01-23,spx,-3.5463096125753513,-3.8845957895158483
2020-01-22,spx,-3.656235594520129,-3.4715259740788214
2020-01-21,spx,-3.6840782227735986,-3.7321220166678706
2020-01-17,spx,-3.4279713614634515,-3.655888668739423
2020-01-16,spx,-3.7995132496779904,-4.255635354920657
2020-01-15,spx,-4.597701637772505,-4.855672197736227
2020-01-14,spx,-4.775789659281856,-4.766388878253744
2020-01-13,spx,-4.631350714440991,-5.178595300778844
2020-01-10,spx,-5.292053733723357,-4.869005248933515
