date,cryptotype,close_percentage,open_percentage
2020-12-19,Doge,-98.89826794472354,-98.90669772649542
2020-12-18,Doge,-98.89344197522081,-98.93653556367809
2020-12-17,Doge,-98.92835901959347,-99.03759000488968
2020-12-16,Doge,-99.0265809659504,-99.09979903167996
2020-12-15,Doge,-99.09073750961161,-99.08600604385867
2020-12-14,Doge,-99.08704706234482,-99.07840585550535
2020-12-13,Doge,-99.07767906999395,-99.11190300865262
2020-12-12,Doge,-99.10464752481064,-99.11162151776772
2020-12-11,Doge,-99.10124102419843,-99.13442214836687
2020-12-10,Doge,-99.12906105459649,-99.11612537192624
2020-12-09,Doge,-99.10493140536964,-99.13019978509324
2020-12-08,Doge,-99.12054470392256,-99.05447932690578
2020-12-07,Doge,-99.04843963680096,-99.05110143628687
2020-12-06,Doge,-99.04503307009317,-99.04434572058828
2020-12-05,Doge,-99.03396179438838,-99.06489442410818
2020-12-04,Doge,-99.05383330132608,-99.04096782996939
2020-12-03,Doge,-99.0299875326582,-99.04716062943736
2020-12-02,Doge,-99.03822000277314,-99.06123504260437
2020-12-01,Doge,-99.0535494207671,-99.0274563985722
2020-11-30,Doge,-99.01721297359953,-99.00381136085753
2020-11-29,Doge,-98.99847698889776,-99.04800510209209
2020-11-28,Doge,-99.03963940556805,-99.08234672789408
2020-11-27,Doge,-99.07597578664004,-99.07727989196573
2020-11-26,Doge,-99.06547233814882,-99.07193163069168
2020-11-25,Doge,-99.07313704714579,-98.89290480421333
2020-11-24,Doge,-98.88123524337568,-98.94441724291632
2020-11-23,Doge,-98.94425626480097,-99.06433144233836
2020-11-22,Doge,-99.05809150971083,-99.06039056994965
2020-11-21,Doge,-99.04049104724501,-99.10261387498986
2020-11-20,Doge,-99.0927246735245,-99.17664545340708
2020-11-19,Doge,-99.1702234712668,-99.18002327848677
2020-11-18,Doge,-99.17249444964308,-99.16313395647069
2020-11-17,Doge,-99.15347465047792,-99.17636396252217
2020-11-16,Doge,-99.17079123238476,-99.21661683136801
2020-11-15,Doge,-99.21422462743135,-99.22140211087226
2020-11-14,Doge,-99.2153600835717,-99.22112061998735
2020-11-13,Doge,-99.21450844189474,-99.21492788605858
2020-11-12,Doge,-99.20684373289777,-99.2194317402171
2020-11-11,Doge,-99.21308910519541,-99.21014260655434
2020-11-10,Doge,-99.20258559060859,-99.24448423235633
2020-11-09,Doge,-99.23948979889413,-99.23491360780865
2020-11-08,Doge,-99.22870240374834,-99.2436397597016
2020-11-07,Doge,-99.23579935162734,-99.20817217035997
2020-11-06,Doge,-99.2059920912208,-99.24645466855068
2020-11-05,Doge,-99.24090913559347,-99.27657393107904
2020-11-04,Doge,-99.26929699320507,-99.29008536247623
2020-11-03,Doge,-99.28405865008106,-99.299374496139
2020-11-02,Doge,-99.2942782841089,-99.2754479675394
2020-11-01,Doge,-99.27014863488203,-99.27769989461868
2020-10-31,Doge,-99.270716396,-99.27938883992813
2020-10-30,Doge,-99.2741229627078,-99.27910734904322
2020-10-29,Doge,-99.27156803767694,-99.26559585210683
2020-10-28,Doge,-99.25907735917725,-99.24673615943559
2020-10-27,Doge,-99.23948979889413,-99.24420274147143
2020-10-26,Doge,-99.23693487386328,-99.19240881188352
2020-10-25,Doge,-99.18356572534786,-99.2506769662851
2020-10-24,Doge,-99.24346406062432,-99.26052908171769
2020-10-23,Doge,-99.25368369465215,-99.25292889336437
2020-10-22,Doge,-99.24601898565517,-99.25461783867382
2020-10-21,Doge,-99.24999324738536,-99.26278100879695
2020-10-20,Doge,-99.25595473912402,-99.27038119715027
2020-10-19,Doge,-99.26333556756201,-99.27347753134505
2020-10-18,Doge,-99.26730982929219,-99.2715071606899
2020-10-17,Doge,-99.26589049259287,-99.27094417892009
2020-10-16,Doge,-99.26503885091591,-99.2675662883012
2020-10-15,Doge,-99.26134840364912,-99.2608105726026
2020-10-14,Doge,-99.25510309744708,-99.25827715463842
2020-10-13,Doge,-99.2511287696213,-99.25236591159455
2020-10-12,Doge,-99.24601898565517,-99.24476572324123
2020-10-11,Doge,-99.24034144057109,-99.25152143893983
2020-10-10,Doge,-99.24431570230126,-99.24195081439215
2020-10-09,Doge,-99.23693487386328,-99.2608105726026
2020-10-08,Doge,-99.2545353363291,-99.27122566980499
2020-10-07,Doge,-99.26589049259287,-99.27375902222995
2020-10-06,Doge,-99.26730982929219,-99.26193653614223
2020-10-05,Doge,-99.25510309744708,-99.25912162729314
2020-10-04,Doge,-99.25425145577012,-99.2684107609559
2020-10-03,Doge,-99.26276780644405,-99.26953672449554
2020-10-02,Doge,-99.26333556756201,-99.26306249968185
2020-10-01,Doge,-99.25936123973624,-99.25377336601909
2020-09-30,Doge,-99.24772226900907,-99.25292889336437
2020-09-29,Doge,-99.24488346341924,-99.24476572324123
2020-09-28,Doge,-99.23807039609922,-99.23209869895958
2020-09-27,Doge,-99.23012180654325,-99.23632106223319
2020-09-26,Doge,-99.22870240374834,-99.23491360780865
2020-09-25,Doge,-99.23154120933818,-99.23857292377325
2020-09-24,Doge,-99.23807039609922,-99.2715071606899
2020-09-23,Doge,-99.26475497035693,-99.25968460906296
2020-09-22,Doge,-99.25254817241621,-99.26644032476155
2020-09-21,Doge,-99.25907735917725,-99.21323894074912
2020-09-20,Doge,-99.20854701625167,-99.21492788605858
2020-09-19,Doge,-99.20826313569268,-99.21408341340386
